ORDER ID,TN1 (NSS TN),TN2
2150632-1349,,YT2302821272089197
2150530-1349,,YT2302821272089258
2150505-1349,,YT2302821272089210
2152461-1349,,YT2302821272089187
2152122-1349,,YT2302821272198116
2151334-1349,,YT2302821272089265
2152976-1349-1,,YT2302821272089189
2151555-1349,,YT2302821272089220
2151393-1349,,YT2302821272089300
2151008-1349,,YT2302821272089213
2152727-1349,,YT2302821272089314
2152302-1349,,YT2302821272089199
2152263-1349,,YT2302821272089311
2151647-1349,,YT2302821272089237
2151524-1349,,YT2302821272089358
2151269-1349,,YT2302821272089205
2150536-1349,,YT2302821272089363
2152282-1349,,YT2302821272089219
2151705-1349,,YT2302821272089211
2151428-1349-1,,JY231V900131014126
2151377-1349,,YT2302821272089317
2152613-1349-1,,YT2302821272089233
2151796-1349,,YT2302821272089411
2151547-1349,,YT2302821272089318
2151393-1349-1,,YT2302821272089242
2150992-1349,,YT2302821272089234
2152013-1349,,YT2302821272089228
2151887-1349,,YT2302821272089212
2151885-1349,,YT2302821272089357
2151726-1349,,YT2302821272089248
2151218-1349,,YT2302821272089295
2152096-1349,,YT2302821272089365
2151900-1349,,YT2302821272089438
2152303-1349,,YT2302821272089251
2151721-1349,,YT2302821272089305
2151489-1349,,YT2302821272089453
2152597-1349,,YT2302821272089307
2150488-1349,,YT2302821272089364
2151673-1349-1,,YT2302821272089499
2151290-1349,,YT2302821272089464
2150684-1349,,YT2302821272089527
2152605-1349,,YT2302821272089570
2152541-1349,,YT2302821272089221
2152042-1349,,YT2302821272089274
2152455-1349,,YT2302821272089264
2151456-1349,,YT2302821272089287
2150407-1349,,YT2302821272089610
2152591-1349,,YT2302821272089291
2152522-1349,,YT2302821272089475
2151693-1349,,YT2302821272089486
2151614-1349,,YT2302821272089424
2151058-1349,,YT2302821272089612
2152632-1349-2,,JY231V100131014134
2152461-1349-1,,YT2302821272089290
2152389-1349,,YT2302821272089261
2151646-1349,,YT2302821272089703
2151559-1349,,YT2302821272089297
2151019-1349,,YT2302821272089316
2152788-1349-1,,YT2302821272089478
2152632-1349,,JY231V900131014129
2152444-1349,,YT2302821272089498
2152266-1349,,YT2302821272089296
2151715,,YT2302821272089299
2150960-1349,,YT2302821272089276
2150637-1349,,YT2302821272089294
2150570-1349,,YT2302821272089319
2151498-1349,,YT2302821272089482
2151297-1349,,YT2302821272089614
2151254-1349,,YT2302821272089761
2151033-1349,,YT2302821272089489
2152406-1349,,YT2302821272089301
2151510-1349,,YT2302821272089781
2150747-1349,,YT2302821272089811
2152661-1349,,YT2302821272089854
2152547-1349,,YT2302821272089552
2152448-1349,,YT2302821272089573
2151627-1349,,YT2302821272089622
2151238-1349,,YT2302821272089859
2150742-1349,,YT2302821272089629
2151767-1349,,YT2302821272089613
2151924-1349,,YT2302821272089490
2150807-1349,,YT2302821272089303
2150502-1349,,YT2302821272089735
2152518-1349,,YT2302821272089759
2151676-1349,,YT2302821272089540
2151025-1349,,YT2302821272089860
2150459-1349,,YT2302821272089564
2152184-1349,,YT2302821272089571
2151452-1349,,YT2302821272089649
2151333-1349,,YT2302821272089599
2152613-1349,,YT2302821272089368
2152284-1349,,YT2302821272089664
#1NUVE7279,,YT2302821272089356
2128309-1349,,YT2302821272089767
#1TS13297,,JY231V900131014140
1985736-1349,,JY231V100131014136
2149894-1349,,YT2302821272089422
2149654-1349,,WNBAA0223495919YQ
2091115-1349,,JY231V900131014133
2047234-1349,,YT2302821272089399
#1TS13383,,YT2302821272089711
1995382-1349,,YT2302821272089408
#1TS13364,,YT2302821272089894
2150062-1349,,YT2302821272089419
2149902-1349,,JY231V900131014142
2091478-1349,,YT2302821272089620
2076280-1349,,YT2302821272089633
2058113-1349,,YT2302821272089650
2080529-1349,,YT2302821272089820
2060931-1349,,YT2302821272089847
2149757-1349,,YT2302821272198117
#1TS13068,,YT2302821272089719
#1TS13062,,YT2302821272089866
2149840-1349,,YT2302821272089772
2072765-1349,,JY231V100131014141
#1TS13167,,JY231V100131014145
#1TS13148,,YT2302821272089899
2150321-1349,,YT2302821272089544
2150022-1349,,YT2302821272089562
2149941-1349,,YT2302821272089865
2113110-1349,,YT2302821272089720
2104753-1349,,YT2302821272089890
#1TS13120,,YT2302821272089871
#1NUVE7256,,FJ002841502GB
2066886-1349,,YT2302821272089892
#1TS9953-1,,YT2302821272089665
#1TS13182,,YT2302821272089667
#1TS13212,,YT2302821272089799
2149767-1349,,YT2302821272089911
2112266-1349,,YT2302821272089903
2093222-1349,,YT2302821272089713
2149737-1349,,YT2302821272089717
2150181-1349,,YT2302821272089718
#1NUVE7268,,YT2302821272089913
2103490-1349,,YT2302821272089758
2034499-1349,,YT2302821272089937
#1TS13132,,YT2302821272089828
2150081-1349,,YT2302821272089611
2117837-1349,,YT2302821272089848
1996820-1282,,YT2302821272089934
2094200,,YT2302821272089760
2015962-1349,,JY231V900131014172
2149646-1349,,YT2302821272089953
2142318-1349,,JD0002231331327984
2140467-1349,,YT2302821272089901
2122592-1349,,YT2302821272089952
2106026-1349,,YT2302821272089958
2104921-1349,,YT2302821272089984
1994312-1349,,YT2302821272089973
#1TS13319,,YT2302821272089768
2150176-1349,,YT2302821272089926
2150061-1349,,JY231V900131014135
#1TS13362,,YT2302821272089980
2053274-1349,,YT2302821272089668
#1TS13259,,YT2302821272089821
2150365-1349,,YT2302821272089991
2150115-1349,,YT2302821272089705
#1NUVE7234,,7.9421E+17
#1TS13176,,YT2302821272090010
2108389,,YT2302821272089981
2102969-1349,,YT2302821272089733
1968495-1349,,YT2302821266019749
#1TS13130,,YT2302821272089858
#1TS13251,,YT2302821272090011
2149905-1349,,YT2302821272089843
2123789-1349,,YT2302821272089864
#1TS13165,,YT2302821272089900
#1NUVE7309,,YT2302821272089870
2150070-1349,,YT2302821272090032
2100785-1349,,YT2302821272089906
#1TS13169,,YT2302821272089904
2149663-1349,,YT2302821272089930
2108691-1349,,YT2302821272089933
#1TS13379,,JY231V900131014139
#1TS13333,,JY231V100131014169
2093354-1349,,YT2302821272090031
#1TS13210,,YT2302821272089935
#1TS11400,,YT2302821272089763
2150185-1349,,YT2302821272089907
2142530-1349,,FJ002605101GB
2080267-1349,,JY231V900131014179
#1TS13325,,YT2302821272089909
2150286-1349,,YT2302821272089764
#1TS12037,,YT2302821266019704
#1NUVE7315,,YT2302821272089770
2137060-1349,,YT2302821272089957
2116229-1349,,YT2302821272089783
#1TS13260,,YT2302821272089825
2060113-1349,,YT2302821272089841
2050755-1349,,YT2302821272089977
2149883-1349,,YT2302821272089966
2149866-1349,,YT2302821272090055
2140118-1349,,YT2302821272089995
#1TS13164,,YT2302821272090009
#1NUVE7293,,YT2302821272090067
2101828,,YT2302821272089922
2090569-1349,,2.01256E+15
2149875-1349,,YT2302821272089869
#1TS13326,,YT2302821272090038
#1TS13221,,YT2302821272089943
2150099-1349,,YT2302821272089978
2149971-1349,,YT2302821272089932
2149717-1349,,YT2302821272090164
2149682-1349,,YT2302821272089946
2085852-1349,,YT2302821272089979
2150235-1349,,YT2302821272089951
#1TS13152,,YT2302821272090030
#1TS13050,,YT2302821272090113
2084023-1349,,YT2302821272090114
2069889-1349,,YT2302821272089961
#1TS13313,,YT2302821272090035
#1TS13161,,YT2302821272198779
2150243-1349,,YT2302821272089960
2150242-1349,,YT2302821272090061
2150151-1349,,YT2302821272090225
2150005-1349,,YT2302821272089964
2034701-1349,,YT2302821272090064
2149611-1349,,YT2302821272089963
2140156-1349,,YT2302821272090006
2080744-1349,,YT2302821272090165
2149567-1349,,YT2302821272089983
2113074-1349,,YT2302821272090078
2150020-1349,,YT2302821272090000
#1TS4977,,YT2302821272198118
#1TS13296,,YT2302821272089985
2125767-1349,,YT2302821272090100
1925516-1349,,YT2302821272090041
2150094-1349,,YT2302821272090069
#3NUVE1435,,JD0002231331328078
#1TS13263,,YT2302821272090028
2149799-1349,,JY231V900131014197
2150280-1349,,YT2302821272090177
2150041-1349,,YT2302821272090103
#1NUVE7301,,YT2302821272090116
#1TS13208,,YT2302821272090159
#1TS11063-1,,YT2302821272090245
#1NUVE7322,,BN6104211419
2087279-1349,,YT2302821272090184
#1TS13266,,YT2302821272090182
#1TS13046,,YT2302821272090187
#1TS13074,,JD0002231331328079
2150051-1349,,YT2302821272090191
#1TS13354,,YT2302821272090003
2150326-1349,,YT2302821272090053
2150026-1349,,YT2302821272090252
2149690-1349,,YT2302821272090194
2150145-1349,,YT2302821272090195
#1NUVE7291,,YT2302821272090204
2141903-1349,,YT2302821272090256
2134582-1349,,YT2302821272090065
2150202-1349,,YT2302821272090007
2134108-1349,,JD0002231331328083
2150282-1349,,NEXAU1008722257
#2391-1,,YT2302821272090311
#1NUVE7263,,YT2302821272090272
2150100-1349,,YT2302821272090074
2149774-1349,,YT2302821272090235
2120152-1349,,YT2302821272090082
2097684-1349,,JY231V100131014189
#1TS13218,,YT2302821272090193
#1TS13117,,YT2302821272090016
2150004-1349,,YT2302821272090130
#1NUVE7257,,YT2302821272090236
2149985-1349,,YT2302821272090250
2071313-1349,,YT2302821272198119
#1TS13097,,YT2302821272090316
2150329-1349,,YT2302821272090132
2149607-1349,,YT2302821272090017
2149995-1349,,YT2302821272090275
2149620-1349,,YT2302821272090335
2149561-1349,,YT2302821272090036
2063808-1349,,JY231V100131014216
2150083-1349,,YT2302821272090223
2126542-1349,,YT2302821272090345
2085885-1349,,YT2302821272090323
2150167-1349,,YT2302821272090056
2149617-1349,,JY231V100131014223
2103446-1349,,YT2302821272090336
#1NUVE7314,,YT2302821272090155
#1TS13057,,YT2302821272090353
2150258-1349,,YT2302821272090062
#2NUVE1365,,WNBAA0223496300YQ
#1TS13084,,YT2302821272090461
2138639-1349,,YT2302821272090157
2127817-1349,,YT2302821272090188
2092185-1349,,YT2302821272090355
#1TS13199,,YT2302821272090121
2150142-1349,,YT2302821272090227
2150303-1349,,NEXAU1008722262
2150159-1349,,YT2302821272090208
2150011-1349,,YT2302821272090482
2117959-1349,,YT2302821272090517
2096982-1349,,YT2302821272090534
#1TS13271,,YT2302821272090543
2149794-1349,,YT2302821272198122
2150301-1349,,YT2302821272090220
2150293-1349,,YT2302821272090232
2149659-1349,,YT2302821272090125
2106559-1349,,YT2302821272090367
2098219-1349,,MP8009407779
#1NUVE7242,,YT2302821272198120
2150032-1349,,NEXAU1008722255
2149967-1349,,YT2302821272090248
2081215-1349,,NEXAU1008722270
#1TS13054,,YT2302821272090381
#1NUVE7269,,YT2302821272090582
1669244-1349,,YT2302821272090262
#3TS1568,,YT2302821272090156
#1TS13160,,YT2302821272090255
#1TS13140,,YT2302821272090269
#1TS13086,,YT2302821272090161
2056739-1349,,YT2302821272090304
#1NUVE7236,,YT2302821272090271
2149865-1349,,YT2302821272090168
2109182,,YT2302821272090315
2149741-1349,,YT2302821272090278
#1TS13201,,YT2302821272090320
#1NUVE7267,,YT2302821272090384
2149680-1349,,YT2302821272090254
2149629-1349,,YT2302821272090322
2149564-1349,,YT2302821272090260
2140461-1349,,YT2302821272198889
2138884-1349,,YT2302821272090351
2143709-1349,,YT2302821272090399
2078529-1349,,YT2302821272090403
2150053-1349,,YT2302821272090410
2149692-1349,,YT2302821272090429
#1TS13174,,YT2302821272090354
#1NUVE6824-1,,JY231V100131014224
2001675,,YT2302821272090189
#1TS13309,,YT2302821272090325
#1TS13339,,YT2302821272090364
#1TS13081,,JD0002231331328094
2149867-1349,,YT2302821272090372
2036894-1349,,JY231V900131014263
2149852-1349,,YT2302821272090585
2149695-1349,,YT2302821272090586
2150330-1349,,YT2302821272090203
2093615-1349,,JY231V100131014265
2004609-1349,,JY231V900131014203
2150322-1349,,YT2302821272090476
2149691-1349,,YT2302821272090375
2106712,,YT2302821272090625
2150123-1349,,YT2302821272090459
2132511-1349,,YT2302821272090496
#1TS13114,,YT2302821272090474
#1NUVE7318,,YT2302821272090522
2150353-1349,,YT2302821272090411
2149982-1349,,YT2302821272090331
2074227-1349,,YT2302821272090478
2019020-1349,,YT2302821272090527
2139105-1349,,YT2302821272090524
2102241-1349,,YT2302821272090532
2150236-1349,,JD0002231331328098
2149651-1349,,YT2302821272090560
2150311-1349,,YT2302821272090423
2070258-1349,,YT2302821272090439
#1TS11448-1,,YT2302821272090228
#1NUVE7312,,YT2302821272090568
2104428-1349,,YT2302821272090241
#1NUVE7317,,JD0002231331328097
2150085-1349,,YT2302821272090488
#1TS13209,,YT2302821272090581
#1NUVE7250,,YT2302821272090505
2149571-1349,,JY231V900131014264
2123194-1349,,YT2302821272090340
2116649-1349,,YT2302821272090631
2088236-1349,,YT2302821272090509
#1TS5162,,YT2302821272090268
#1TS13291,,YT2302821272090528
2019725-1,,YT2302821272090362
#1TS13088,,YT2302821272090531
2149911-1349,,YT2302821272090553
2149565-1349,,YT2302821272090376
2129483-1349,,YT2302821272090563
2114761-1349,,YT2302821272090414
2086487-1349,,YT2302821272090436
2081695-1349,,JY231V900131014221
#1TS13149,,YT2302821272090638
#1TS13105,,NEXAU1008722269
#2NUVE1364,,YT2302821272090555
2094926-1349,,YT2302821272090559
#3TS1558,,YT2302821272090583
2100645-1349,,YT2302821272090639
2005995-1349,,YT2302821272090643
#1NUVE7265,,JY231V100131014266
2149975-1349,,YT2302821272090605
2149724-1349,,YT2302821272090606
2082180-1349,,YT2302821272090565
2063315-1349,,YT2302821272090447
2040496-1349,,YT2302821272090324
1934911-1349,,YT2302821272090567
#1TS13300,,JY231V900131014262
2149834-1349,,YT2302821272090584
2037000-1349,,YT2302821272090580
#1TS13384,,YT2302821272090660
2149756-1349,,FJ002383722GB
2136880-1349,,6.21517E+12
2149999-1349,,YT2302821272090594
#1NUVE7280,,NEXAU1008722261
2149831-1349,,YT2302821272090608
2149708-1349,,YT2302821272090359
2149648-1349,,YT2302821272090609
#1TS13043,,YT2302821272090380
2132330-1349,,YT2302821272090661
2084241,,YT2302821272090612
#1TS13039,,YT2302821272090678
2149904-1349,,YT2302821272090494
2149863-1349,,YT2302821272090598
#1TS13200,,YT2302821272090387
#1TS12014-1,,YT2302821272090407
2103964-1349,,YT2302821272090616
#2NUVE1363,,YT2302821272090680
#1TS13236,,YT2302821272090622
2150268-1349,,YT2302821272090709
2001486-1282,,YT2302821272090629
2150121-1349,,YT2302821272090600
1931424-1349,,YT2302821272090611
#1TS5840-1,,YT2302821272090615
2150357-1349,,YT2302821272090613
1963476-1349,,YT2302821272090637
#1TS13053,,YT2302821272090442
2057456-1349,,YT2302821272090645
#1TS12245-1,,YT2302821272090627
2150334-1349,,YT2302821272090711
2149979-1349,,YT2302821272090520
2100592-1349,,YT2302821272090483
2149775-1349,,YT2302821272090722
2100065-1349,,YT2302821272090664
2053733-1349,,YT2302821272090665
2150296-1349,,YT2302821272090666
2150069-1349,,YT2302821272090670
#1TS10543,,YT2302821272090671
2026587-1349,,JY231V100131014267
#1TS13227,,YT2302821272090724
2149896-1349,,YT2302821272090760
2149627-1349,,YT2302821272090775
1950158-1349,,YT2302821272090726
2149655-1349,,YT2302821272090741
2132781-1349,,YT2302821272090719
2149851-1349,,YT2302821272090747
2137979-1349,,6.21517E+12
2135429-1349,,YT2302821272090752
2075744-1349,,JY231V100131014277
2150043-1349,,YT2302821272090778
2140363-1349,,YT2302821272090727
2100753-1349,,YT2302821272090721
#3TS1560,,FJ002327822GB
#1TS13042,,YT2302821272198123
2150246-1349,,YT2302821272090763
2122274-1349,,YT2302821272090754
2116031-1349,,YT2302821272090730
2070339-1349,,JD0002231331328109
#1TS9680-1,,YT2302821272090771
2149573-1349,,YT2302821272090745
2144398-1349,,YT2302821272090781
1973539-1349,,YT2302821272090740
#1TS13139,,YT2302821272090780
2149577-1349,,YT2302821272090823
2137009-1349,,YT2302821272090742
2149827-1349,,YT2302821272090843
2150308-1349,,YT2302821272090753
#1TS13336,,YT2302821272090744
2123373-1349,,YT2302821272090850
2055085-1349,,YT2302821272090787
2150191-1349,,YT2302821272090866
2080157-1349,,JY231V100131014278
2077831-1349,,JY231V100131014287
#1NUVE7238,,YT2302821272090767
2149843-1349,,YT2302821272090868
2112346-1349,,YT2302821272090789
#1TS13248,,YT2302821272090792
2150295-1349,,YT2302821272090814
#1TS13242,,YT2302821272090782
#1TS13049,,YT2302821272090773
2012467-1349,,JY231V900131014283
2107238-1349,,YT2302821272090776
#1TS13213,,YT2302821272090809
#1NUVE7261,,YT2302821272090800
2150008-1349,,YT2302821272090812
2149809-1349,,YT2302821272090784
1994285-1349,,6.21517E+12
2072680-1349,,YT2302821272090777
2149881-1349,,YT2302821272090845
2108336-1349,,YT2302821272090818
2150245-1349,,YT2302821272090815
#1TS13163,,YT2302821272090796
2072005-1349,,YT2302821272090828
#1TS13368,,YT2302821272090831
#1TS13346,,YT2302821272090832
2150349-1349,,YT2302821272090839
2150281-1349,,YT2302821272090889
2084288,,YT2302821272090848
1984567-1349,,YT2302821272090869
#1TS13382,,YT2302821272090829
2150082-1349,,YT2302821272090901
2149762-1349,,YT2302821272090837
#1TS13318,,YT2302821272090917
2150128-1349,,YT2302821272090907
2041974-1349,,YT2302821272090864
1954269-1349,,YT2302821272090841
2150114-1349,,YT2302821272090908
#1TS13153,,YT2302821272090909
2138844-1349,,YT2302821272090911
2150178-1349,,YT2302821272090918
2081592-1349,,YT2302821272090922
2149987-1349,,YT2302821272090862
#1TS13303,,YT2302821272090916
2149585-1349,,YT2302821272090927
2024190-1349,,YT2302821272090882
1998935-1349,,YT2302821272090923
#1TS13344,,JY231V900131014289
#1TS13076,,YT2302821272090952
2150312-1349,,YT2302821272090963
#1TS13177,,YT2302821272090954
#1TS13278,,7.9421E+17
2150244-1349,,JY231V900131014298
2150197-1349,,YT2302821272090887
2002190-1349,,JY231V100131014293
2027323-1349,,YT2302821266019941
#1TS13328,,JY231V100131014302
#1TS13065,,YT2302821272090878
2149792-1349,,YT2302821272090972
2149578-1349,,LY289449986DE
#1NUVE7316,,YT2302821272090883
2039408-1349,,JY231V100131014299
2035573-1349,,JY231V100131014290
#1TS13147,,YT2302821272090999
#1TS13134,,YT2302821272091024
2092454-1349,,YT2302821272091063
2149833-1349,,YT2302821272090893
2149909-1349,,YT2302821272090857
2149766-1349,,YT2302821272090933
2149713-1349,,YT2302821272090961
2150300-1349,,YT2302821272090879
2100338-1349,,YT2302821272091040
#1TS13124,,YT2302821272198125
2143360-1349,,YT2302821272090926
#1TS13270,,YT2302821272090898
2149996-1349,,YT2302821272091106
2142795-1349,,YT2302821272091121
1996181-1349,,YT2302821272091059
2150328-1349,,YT2302821272091123
#1TS12051,,YT2302821272090997
2149841-1349,,YT2302821272091039
2118207-1349,,YT2302821272091081
#1TS13281,,YT2302821272091095
#1TS13119,,YT2302821272090935
#1TS13063,,YT2302821272091132
#1TS6402-1,,JY231V900131014317
#1TS13279,,YT2302821272090937
2086260-1349,,YT2302821272090904
#1TS13082,,YT2302821272091139
1990344-1349,,YT2302821272090903
#1TS13113,,YT2302821272091048
2112060-1349,,YT2302821272090921
2102514-1349,,YT2302821272091052
2054065-1349,,YT2302821272091115
2000332-1349,,YT2302821272090939
#1TS13359,,YT2302821272090944
2150314-1349,,YT2302821272091084
2150299-1349,,YT2302821272090930
2150169-1349,,JY231V100131014312
2063210-1349,,YT2302821272090947
#3TS1564,,YT2302821272091118
2149798-1349,,YT2302821272091140
2149583-1349,,YT2302821272091151
2093710-1349,,YT2302821272090941
#1TS13217,,YT2302821272090949
#1TS11410,,YT2302821272090950
2150333-1349,,YT2302821272090958
2133753-1349,,YT2302821272091225
2116627-1349,,YT2302821272091232
2079027-1349,,YT2302821272091234
#1TS13314,,YT2302821272090965
#1TS13286,,YT2302821272090966
2149687-1349,,YT2302821272091143
2135363-1349,,YT2302821272091269
2149738-1349,,YT2302821272091160
2150270-1349,,YT2302821272091167
#1TS13207,,YT2302821272090967
2149755-1349,,YT2302821272090968
2084964,,YT2302821272090975
1989554-1349,,YT2302821272090971
#1TS13335,,YT2302821272091019
2109315-1349,,YT2302821272091270
2019966-1349,,YT2302821272091136
2064234-1349,,YT2302821272091171
2081607-1349,,YT2302821272091183
2150359-1349,,YT2302821272091020
#1TS13245,,YT2302821272090973
2140473-1349,,YT2302821272091276
2149927-1349,,YT2302821272198135
2149832-1349,,YT2302821272090976
2150251-1349,,YT2302821272091023
2149981-1349,,YT2302821272090996
2080939-1349,,YT2302821272091046
#1TS5186,,YT2302821272091000
#1NUVE7319,,NEXAU1008722283
2090893-1349,,YT2302821272091001
2051182-1349,,YT2302821272091006
#2TS1307,,YT2302821272091002
2150207-1349,,JD0002231331328120
2149637-1349,,YT2302821272091016
2126906-1349,,YT2302821272198995
1994585-1349,,YT2302821272091018
2150056-1349,,YT2302821272091213
2149626-1349,,YT2302821272091221
2092721-1349,,YT2302821272091079
2090495-1349,,JY231V100131014331
2150146-1349,,YT2302821272091004
2149582-1349,,6.21517E+12
#2NUVE1367,,YT2302821272091094
2149859-1349,,YT2302821272091319
2149727-1349,,YT2302821272091320
2065283-1349,,YT2302821272091014
#1TS13093,,JY231V900131014311
#1TS11937,,YT2302821272091027
2108069-1349,,YT2302821272091209
2098242-1349,,YT2302821272091210
2081348-1349,,YT2302821272091029
2053017-1349,,YT2302821272091053
1970743-1349,,YT2302821272091230
#1TS13249,,YT2302821272091252
2150304-1349,,YT2302821272091283
2098876-1349,,YT2302821272091226
2075309-1349,,YT2302821272091324
#1NUVE7311,,YT2302821272091126
