Order Id,Tracking Code
2168324-1375,'YT2306721272007452
2167065-1372,'YT2306721272007951
2165098-1371,'YT2306721272008110
2166961-1372,'YT2306721272007973
2159793-1361,'YT2306721272008595
2164820-1371,'YT2306721272008452
2112683,'YT2306221272160812
2152746-1361,'YT2306221272156144
2131471-1361,'YT2306221272167644
2161756-1365,'1ZA8003V0498560183
2159636-1361,'YT2306121272001530
1958990-1365,'YT2306121272001353
1986637-1365,'WNBAA0228204376YQ
103278,'WNBAA0228222494YQ
2153281-1350,'YT2305521272149938
#1TS6738-1,'YT2305421272141423
2148279,'YT2305421266047988
2105389-1,'YT2305421272119504
2159187-1360,'WNBAA0227312818YQ
#1NUVE7207-1,'JD0002231331808076
2087012,'JY232G100131039242
#1NUVE7337,'YT2304021272094231
2158296-1358,'YT2303921272255648
2150607-1349,'JD0002231331552271
1981429,'YT2303921272086774
2147905,'WNBAA0225030513YQ
2106946,'YT2303921272086226
2106978,'YT2303921272087898
2137071,'YT2303921272086142
2141276,'YT2303921272094405
2145416,'WNBAA0225030774YQ
2114215,'YT2303921272086694
2087698,'YT2303921272086747
2087918-1356,'YT2303921272003783
2154133-1351,'YT2303921272004024
2006638,'YT2303921272087648
2156915-1356,'YT2303921272003383
2087012-1349,'YT2303921272004384
2156950-1356,'YT2303921272003559
1975622-1349,'YT2303921272004226
#3TS1474-1,'YT2303921272003813
2154271,'JY2328900131023010
2134166-1356,'YT2303921272003172
2111597,'YT2303921272086106
2020704,'MS0006444042
2116277,'WNBAA0224873352YQ
2140881,'WNBAA0224873320YQ
2110158,'WNBAA0224874724YQ
2110160,'WNBAA0224874196YQ
2019139,'BN6104236628
#1TS13732,'YT2303821272174229
#1TS13714,'YT2303821272174252
#1TS13699,'YT2303821272174254
2157665-1356,'YT2303821272174283
#2TS1305-1,'YT2303821272174215
#1TS13646,'YT2303821272174233
2156569-1355,'YT2303821272174231
2145809-1356,'YT2303821272174259
2157298-1356,'YT2303821272174230
#1TS13691,'YT2303821272174261
2157639-1356,'YT2303821272174237
2156844-1356,'YT2303821272174207
2157944-1356,'YT2303821272174195
2157711-1356,'YT2303821272174260
2157167-1356,'YT2303821272174225
2124047-1356,'YT2303821272174190
2145403,'YT2303821272174266
2130576-1356,'YT2303821272174196
2156912-1356,'YT2303821272174257
1688568-3,'YT2303821272174255
2156786-1356,'YT2303821272174282
2156680-1356,'YT2303821272174191
#1TS13642,'YT2303821272174258
2134919-1356,'YT2303821272174210
#1TS13728,'YT2303821272174232
2156571-1355,'YT2303821272174262
#1TS13616,'WNBAA0224903371YQ
1964735,'YT2303821272108707
2092645,'YT2303821272106467
1971375,'YT2303821272106572
2094482,'YT2303821272104956
2145510,'YT2303821272104479
2111838,'YT2303821272103602
2150028-1349,'WNBAA0224268303YQ
2155861-1354,'YT2303421272246158
2155981-1354,'WNBAA0224267643YQ
2150025-1349,'YT2303421272246837
2153362-1351,'YT2303421272248026
2102051,'YT2303421272084117
2101875,'YT2303421272083043
1977311,'YT2303421272086460
2139972,'YT2303421272084026
2131062,'YT2303421272086516
2136572,'YT2303421272084114
2145222,'YT2303421272085011
1983423,'JY2323900131022656
2124302,'YT2303421272085008
2006521,'YT2303421272086410
2139401,'JY2323100131022586
2132595,'NEXAU1008795711
2131142,'WNBAA0224208836YQ
2149324,'JY2323100131022452
2133125,'WNBAA0224208803YQ
2144596,'WNBAA0224209990YQ
2080979,'YT2303421272084810
2138990,'YT2303421266024247
2078369,'YT2303421272085433
2151872,'YT2303421272085629
2135578,'YT2303421272085225
2149181,'YT2303421272085495
1977911,'YT2303421272085971
2083008,'YT2303421272086613
2145220,'YT2303421272085464
2152342,'06215167272120
2149590,'YT2303421272086666
2119322,'YT2303421272086400
1977317,'YT2303421272086634
2091784,'YT2303421272086413
2150033,'NEXAU1008795697
2144003,'YT2303421272093848
2020617,'NEXAU1008795692
2147019,'NEXAU1008795664
2150568,'WNBAA0224208965YQ
2121024,'YT2303421272084799
2135506,'YT2303421272085913
2145481,'YT2303421272084895
2130269,'YT2303421272085704
2145817,'YT2303421272083168
2145792,'YT2303421272084058
2151858,'YT2303421272083856
2151691,'NEXAU1008795712
2099071,'YT2303421272085836
2145467,'YT2303421272085802
2131081,'YT2303421266023481
2096724,'YT2303421272083028
2052875,'YT2303421272084186
2068348,'YT2303421272084701
2139316,'YT2303421272084661
2133586,'YT2303421272084299
2148360,'YT2303421272082923
2154794-1352,'WNBAA0224155692YQ
#1TS13524,'YT2303221272183620
2154738-1352,'YT2303221272184734
2155325-1352,'WNBAA0223971013YQ
2099832-1351,'YT2303121272213899
2021472,'YT2303121272135072
2093867,'YT2303121272124629
2096169,'YT2303121272124807
2112448,'YT2303121272127589
2090219,'YT2303121272135305
2149709-1349,'YT2303021272390180
2090241,'YT2303121272127575
2149994-1349,'YT2303021272389546
2150113-1349,'4PX3000473281521CN
2150871-1349,'WNBAA0223757829YQ
2152086-1349,'YT2303021272390504
2092562,'YT2303121272122612
2002067,'YT2302821272093965
2151715,'YT2302821272089299
2084964,'YT2302821272090975
2096757,'YT2302821272092661
2097328,'YT2301821272048015
#1TS10605,'YT2301621272110575
#1TS7485-1,'YT2301021272147449
2136675,'YT2300421272173113
#1NUVE6042-1,'YT2300321272110725
2103872-1321,'YT2236221272185262
#1TS6713-1,'YT2236121272078686
2098977-1314,'YT2235521272034255
2082955-1314,'YT2235521272029163
2060570-1301,'YT2234821272166600
2025682-1292,'YT2233421272258839
#1TS6024-1,'YT2232921272248057
#1TS3406-1,'BL00032259DD
#3TS1099-1,'YT2230521272101942
